sep=;
From#;From Name;To# - Circ#;To Name;Area;Owner;Resistance (pu);Reactance (pu);Line Charg. (pu);Normal Rat.(MVA);Overl. Rat.(MVA);Emerg. Rat.(MVA);ShtF On;GSht From (MW);BSht From (Mvar);ShtT On;GSht To (MW);BSht To (Mvar);Brk From;Brk To;Monitored;R0 (pu);X0 (pu);Type;Name
123;CAMPIN-SP345;120    # 01;P.CALD-MG345;352;0;0.00359;0.03945;0.66700;853.0;1075.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01077;0.11835;TL;CAMPIN-SP345 - P.CALD-M 
125;IB-BA1CAP500;112    # 01;BA-IB1-PR500;202;0;0.00308;0.03958;4.44840;1299.0;2252.0;2252.0;1/ 1;0.0;-87.0;1/ 1;0.0;-136.0;Closed;Closed;YES;0.00924;0.11874;TL;IB-BA1CAP500 - BA-IB1-P 
126;GUARUL-SP345;86    # 01;IBIUNA-SP345;204;0;0.00109;0.01826;0.51200;1707.0;2150.0;218.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00327;0.05478;TL;GUARUL-SP345 - IBIUNA-S 
126;GUARUL-SP345;86    # 02;IBIUNA-SP345;204;0;0.00109;0.01824;0.51200;1707.0;2150.0;269.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00327;0.05472;TL;GUARUL-SP345 - IBIUNA-S 
126;GUARUL-SP345;123    # 01;CAMPIN-SP345;204;0;0.00252;0.02761;0.46500;853.0;1075.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00756;0.08283;TL;GUARUL-SP345 - CAMPIN-S 
126;GUARUL-SP345;442    # 01;NORDES-SP345;204;0;0.00116;0.01132;0.17708;776.0;977.0;558.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00348;0.03396;TL;GUARUL-SP345 - NORDES-S 
129;MOGI---SP345;697    # 01;ATIBA2-SP345;204;0;0.00180;0.02030;0.34670;717.0;717.0;225.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00540;0.06090;TL;MOGI---SP345 - ATIBA2-S 
130;IB-BA2CAP500;113    # 02;BA-IB2-PR500;202;0;0.00308;0.03958;4.44840;1299.0;2252.0;2252.0;1/ 1;0.0;-87.0;1/ 1;0.0;-136.0;Closed;Closed;YES;0.00924;0.11874;TL;IB-BA2CAP500 - BA-IB2-P 
131;M.MORA-MG345;3012    # 01;ESTREI-MG345;352;0;0.00038;0.00427;0.06673;853.0;1075.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.00114;0.01281;TL;M.MORA-MG345 - ESTREI-M 
134;LCBARR-SP345;120    # 01;P.CALD-MG345;204;0;0.00560;0.06160;1.05300;853.0;1075.0;853.0;0/ 0;0.0;0.0;0/ 0;0.0;0.0;Closed;Closed;YES;0.01680;0.18480;TL;LCBARR-SP345 - P.CALD-M 
